"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"2Q Jul 1989","6.85527133254628","7.44006091868666","7.65682975888772","5.37070373431722","10.1683153924968","6.89785445464022","7.67835510600749","3.39736644899127","7.03254346442161","5.27897361720957","7.37959000036307","6.41777681155393","7.98652210792242","3.4426134474263","3.13777117182674","4.003137493956",
"1Q Ago 1989","6.89718612497897","7.4941344675502","7.67880199880029","5.39623824525671","10.181895694196","6.99509650119775","7.86251283542719","3.40879421408337","7.09302480875997","5.29195199779956","7.39748491242995","6.41090145307272","8.02181018964492","3.45130413081551","3.13777117182674","4.02898543580152",
"2Q Ago 1989","6.91747937470927","7.53701658243994","7.70597308453097","5.41711799422945","10.2151725381985","7.0585788195542","7.93496525342045","3.44709329159588","7.15584892824941","5.26071815004938","7.32979210592878","6.205503797562","8.05252228153231","3.45294505039764","3.13875966339164","4.03190137656336",
"1Q Sep 1989","6.95319253095964","7.60584875444654","7.72526569355159","5.43024008589811","10.2414254446446","7.19449917757665","8.14981895167053","3.93171430629934","7.20595476106745","5.22067130983181","7.23903208529755","5.97703848571169","8.06040361709189","3.45868230637171","3.13875966339164","4.04896519676362",
"2Q Sep 1989","6.99359304868231","7.65464488810193","7.75487775232765","5.46518929499838","10.258901272944","7.26856387228709","8.22568703100326","3.95084596078812","7.28738199249473","5.24067390974519","7.23370852008133","5.89567675639176","8.10908932753656","3.50221342279229","3.20258470069462","4.051591726786",
"1Q Oct 1989","7.06030298863363","7.73811906911518","7.82482088463872","5.54118324748175","10.3102807970934","7.36828493520934","8.40242855991927","3.95084596078812","7.35776800422881","5.26717328585894","7.22016181567453","5.83439620857219","8.12955204363651","3.56583128355195","3.29637671185261","4.05440489890121",
"2Q Oct 1989","7.09274669989708","7.7940545281979","7.87743768672053","5.55051808829815","10.4226447533783","7.42706608323279","8.49278292391062","3.96375466437509","7.40551457675411","5.24560505711959","7.17381582180579","5.69049056178381","8.15290639038211","3.56659931037258","3.29637671185261","4.05668917410801",
"1Q Nov 1989","7.15136669325906","7.85463442985383","7.91682110776074","5.57364731085117","10.4818735297285","7.51535112977877","8.68435284601551","3.96375466437509","7.4478446950603","5.29758098716574","7.24994828149799","5.79242829246976","8.20994869163628","3.59731267574604","3.34144668370001","4.05846633020496",
"2Q Nov 1989","7.20034671952792","7.91883502771052","7.98050316903992","5.6305416596286","10.5476032796421","7.57821495196026","8.75345679075941","3.9649917092617","7.51615382509344","5.31050749241478","7.27379964316137","5.67368864029108","8.33473489460355","3.60044752986748","3.34144668370001","4.06779005348277",
"1Q Dic 1989","7.32782399073863","8.03775616971273","8.0636325931496","5.71229257000195","10.6218758597806","7.74338405110432","8.98736446276997","3.98080609678621","7.66425349601216","5.45233552676689","7.42114959620497","5.76062826852306","8.52344204831289","3.73957197848709","3.50469501453899","4.157140143338",
"2Q Dic 1989","7.50823508383692","8.19558834532474","8.23091964854056","5.93995971520303","10.6740188611681","7.88292053476369","9.09201834095646","3.98080609678621","7.84396893735486","5.6765694317119","7.65603420843784","6.09876892220233","8.6826541949785","3.95777252014074","3.54204444399556","4.73188767222422",
"1Q Ene 1990","7.72941088730843","8.38563156092675","8.35778725872394","6.11499677159749","10.7098983498889","8.15523357369949","9.34322361745408","4.03612173180222","8.16102647517416","5.95921806614268","7.86348482528","6.50510241867267","8.74685878416196","4.3139871547658","3.54204481536598","5.79134506283001",
"2Q Ene 1990","7.82266337422997","8.47350261891002","8.40637164502807","6.15979699376179","10.7578963011506","8.29523888808827","9.4305697224347","4.10443196494416","8.34285032832572","6.06098726277338","8.02839017145973","6.76430297657912","8.8431664379212","4.35961835871321","3.54247597091575","5.92620510635194",
"1Q Feb 1990","7.91466890281192","8.56414135993091","8.46258600061888","6.2084401198488","10.8183522088729","8.43112131172173","9.63657304357402","4.13452841900381","8.45482426294084","6.15252006471525","8.18804902800585","7.03542177120664","8.92210165148507","4.39027295798041","3.54152795320788","6.01926247466369",
"2Q Feb 1990","7.98957240034858","8.60480803660435","8.48910866555588","6.23158854111716","10.8465710346697","8.49026730862161","9.70503005466705","4.1457369915347","8.51587753814928","6.30146100261319","8.49777243277618","7.69043992962954","8.98364184059947","4.39442347097606","3.54152795320788","6.03160698357583",
"1Q Mar 1990","8.06669058293016","8.67722591816459","8.5289121860955","6.26952722237942","10.8839903582193","8.60598215365235","9.92475445279853","4.15085768391514","8.58857775116243","6.38618071705809","8.66376899454477","7.97668936713935","9.06261063055773","4.40610694184744","3.54152795320788","6.06635611228096",
"2Q Mar 1990","8.11793243724758","8.75358802221858","8.58101090892843","6.32480963068621","10.9243009297267","8.71383265029836","10.0032629451791","4.16216701972457","8.72742320863167","6.37903336282451","8.63308053960351","7.70237200844927","9.20510930932404","4.42040251983438","3.54152795320788","6.10887420342594",
