"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 865541 "," 865542 "," 865548 "," 865549 "," 865550 "," 865551 "," 865552 "," 865553 "," 865554 "," 865555 "," 865556 "," 865557 "," 865558 "," 865559 "," 865560 "," 865561 ",
"Sep 2005","59.3090064873482","63.2955884337427","58.5194391709639","50.0459137729243","66.2359142940659","67.6843482761582","71.42283218421","56.8915553261865","67.7251245877545","48.2433332112799","48.8770325270856","49.6760607618451","48.2786098088751","47.8269006509751","44.1224064594809","55.4667731108506",
"Oct 2005","59.4545799371139","63.4466667864186","58.6873578867486","50.2288617396909","66.3881305978001","67.8183286002561","71.6271392741622","56.8890633633077","67.8481729091384","48.3723022242334","47.9569319043502","47.8253894344352","47.9336388189854","48.6072676336825","45.2916686338833","55.4843267894741",
"Nov 2005","59.8824933517271","63.5772558194428","58.8031015523075","50.3443135065502","66.5032963022845","67.9628458667349","71.7757014901161","56.8890633633077","68.0446496584443","49.5847316427156","47.1789016749231","46.4292814503378","47.5379682054701","51.055171955011","48.9341883093623","55.5893503908808",
"Dic 2005","60.2503123885007","63.7568923839443","58.9470491636625","50.5414146685457","66.5950477484422","68.1765491901163","71.9021238448257","56.8902533563775","68.4188957591773","50.4461246340135","48.7703002091514","50.1107520452477","47.8386527354062","51.4628314470195","49.5105070294009","55.6666547486846",
"Ene 2006","60.6036258857962","63.895720984021","59.1109337405411","50.7628034526565","66.7024033599534","68.2903113258563","72.1607016638068","57.0309398507969","68.3897574925146","51.364201894715","50.1333557290506","53.5123015784048","47.9432572666429","52.1041467053971","50.2847338920506","56.0497977822029",
"Feb 2006","60.6963577274618","64.1045609025923","59.2933468328937","50.9916926043983","66.8387579500672","68.5240479408077","72.4580202241457","57.2185840550674","68.5814058808353","51.1481605764125","49.8776496713554","52.8149207349922","47.9601300749995","51.9128393068267","49.9749887147889","56.0911180187315",
"Mar 2006","60.7725118097234","64.3587287408132","59.4672518005001","51.131947860748","67.0437401799725","68.8554803790404","72.8124258830061","57.2871050489026","68.9923822336949","50.7531078012274","48.5197286944218","49.5123600175113","47.8028450912667","52.1159033655523","50.2180520853372","56.2165540117187",
"Abr 2006","60.8616172665192","64.5771584572873","59.5909421746949","51.2153376742175","67.2052777974922","69.1654642990836","73.1249631242056","57.3601321234819","69.3902958887007","50.4986046968189","48.092263125973","48.9534164224426","47.457285166736","51.9689286808487","49.9744856085319","56.2593596714667",
"May 2006","60.5906745112619","64.6644629204638","59.661286176265","51.322859437807","67.2393387637786","69.2689499107647","73.429082165028","57.4375661116402","69.3217038431782","49.2836279357254","48.3706735381132","49.528900994585","47.5521252811507","49.8271540705067","46.7147419674996","56.311154649437",
"Jun 2006","60.6429980643804","64.8598096803277","59.7840377953708","51.4692047382381","67.3384849896897","69.5343298125058","73.7330093151641","57.5289100129114","69.6180745704255","48.9566766429261","47.3605586264999","47.186233550899","47.3649120184374","49.9245941920535","46.8405361658476","56.3532526569928",
"Jul 2006","60.8092937134007","65.0275192207642","59.851905593769","51.605284709644","67.3402362557097","69.7987954797424","73.9197923942494","57.5704213957954","70.0379139759845","49.1172304086304","47.4564338749746","47.5815955138032","47.2761281260582","50.1252362594153","47.0812254393325","56.4761556926065",
"Ago 2006","61.1196086472422","65.1408227090913","59.9700159892077","51.7149400068817","67.4656032781676","69.9069140622978","74.0771012564222","58.0493659570927","69.9527255833967","49.9456002977931","49.2313048802847","51.2447159190619","47.8841864484898","50.3654472681219","47.2686016996313","56.8223418927129",
"Sep 2006","61.7366121300559","65.49715808072","60.2404908064463","52.1118207876742","67.612481999986","70.3455362926715","74.2016844794001","60.1341361400155","70.0143299042863","51.2473555202993","52.5265225611557","58.5377044261427","48.7100533339676","50.4286687756599","47.3384590587243","56.8728846110844",
"Oct 2006","62.0065187753508","65.6484919231897","60.4549004709969","52.3706289806642","67.782594138475","70.4346275295375","74.2932340902013","60.1341361400155","70.1354846517891","51.8299079226428","53.3120672181816","60.1413717973159","48.9900165186554","50.8848888242559","48.0080085380721","56.9108517865812",
"Nov 2006","62.3318573036518","65.820487842729","60.6781900586916","52.7048703908032","67.8975029850511","70.5557950908379","74.4014653107751","60.1341361400155","70.314954528388","52.5581081858124","51.6192385075979","55.6790801986171","49.006551840337","53.116172176688","51.359915855613","56.9439269793919",
"Dic 2006","62.6924235706863","66.0809725590223","60.9620345199804","53.1189536721537","68.0539653490682","70.7923417496211","74.5844952552207","60.1364266053437","70.6899197055696","53.179949299121","52.818739209012","57.855503323091","49.6017676826398","53.3789985117345","51.6971892522159","57.061493114485",
"Ene 2007","63.0162079340435","66.3877523322035","61.3789336533439","53.8936611380877","68.1235970604948","70.990272105781","74.8914711701906","60.2493456562902","70.8206701418723","53.5463662927259","52.9154112320883","57.2778837540617","50.1135182912846","53.9127497550276","52.0688517979433","57.9189861249833",
